name,followers,popularity,genres,image_url,external_url
Johnson,20260.0,45.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051749c6a7ecff04e86202252c1e4,https://open.spotify.com/artist/4w1fUgGXRGXhhnTAxjtxfS
Niarn,28846.0,47.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174510d79f6b1c0bd9f2852529c,https://open.spotify.com/artist/3Y5DrePVX41yXqnaA1JDIo
L.O.C.,232986.0,55.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051747d4d60cb994ebdb04d700955,https://open.spotify.com/artist/0VUVvNFIyMeIWguwhhImIc
UFO Yepha,11035.0,34.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616d00001e02808085545c484fef6eb20efd,https://open.spotify.com/artist/1NukGkOinsm6M2Evhb3Icf
Jokeren,18566.0,37.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051745858a2ece50cfcaee05226ab,https://open.spotify.com/artist/6lpXwObstUyC9XqZb2NLPJ
Selvmord,10077.0,32.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616d00001e025b2abf4f6d738279d2558b92,https://open.spotify.com/artist/5XF8wq2qoq5WQ3UAVundXm
Malk De Koijn,39001.0,37.0,['danish hip hop'],https://i.scdn.co/image/ab6761610000517469f28d526eff69475b67aa8b,https://open.spotify.com/artist/5WvYsVV3jtztF1kx86Y0yS
Troo.L.S,2432.0,35.0,['danish hip hop'],https://i.scdn.co/image/ab67616d00001e0207aced0af5392ac2f5d30053,https://open.spotify.com/artist/0X7S9BiCFjGRK3U6lazy2J
USO,48082.0,41.0,"['dakke dak', 'danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174f1837e88684dfb3732a4f4e6,https://open.spotify.com/artist/3GGuPP6lGhVCYBFsqQfIom
Natasja,39727.0,56.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051744bb1745aae5513be02082cff,https://open.spotify.com/artist/73O5T44Ui5WqxtW6S5JENA
