name,followers,popularity,genres,image_url,external_url
L.O.C.,232986,55,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051747d4d60cb994ebdb04d700955,https://api.spotify.com/v1/artists/0VUVvNFIyMeIWguwhhImIc
YAKUZA,1328,24,[],https://i.scdn.co/image/ab676161000051741b410b79d64e2113ff2f2865,https://api.spotify.com/v1/artists/0kaFVAigKQNC5TaXTo7Cm7
Ukendt Kunstner,51715,54,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/10e4a579999929d7957add5a3927d43fa7f1cf2d,https://api.spotify.com/v1/artists/1d5Y2zrhRQ6R0plv652L67
Sirius Med Z,65,0,[],https://i.scdn.co/image/ab6761610000517465ae0c111c633f406d8455e6,https://api.spotify.com/v1/artists/1gioE3gufsJ9se4x12fPiD
Benal,22599,44,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174ba4ae093f98dbec0637c9ecf,https://api.spotify.com/v1/artists/1p2z4hiBCkxfWZ6OvyGBSA
Sultan Den Første,3502,40,[],https://i.scdn.co/image/ab67616100005174fba33933dbaff0400c96e004,https://api.spotify.com/v1/artists/1tv6vH2AmEXZUvQ8mqCY3U
By Any Means,402,18,['swedish underground rap'],https://i.scdn.co/image/ab676161000051740dfdbc7c3b1a114a6b18b200,https://api.spotify.com/v1/artists/2GlcvH0oAgqzm8nknmaNzv
Ude Af Kontrol,73092,59,"['dakke dak', 'danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051740f7ecd4e0f8057668efeb6d4,https://api.spotify.com/v1/artists/2ZbyyCS8KLKsuoNlxc76Ev
WIINSTON,8795,38,['danish pop'],https://i.scdn.co/image/ab67616100005174a14ec8daf86f7f8000f25baa,https://api.spotify.com/v1/artists/2y83GOxwL8okDqmxSmyX5o
Wu-Tang Clan,2318155,72,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ab67616100005174e60866298962b71792b2bf1a,https://api.spotify.com/v1/artists/34EP7KEpOjXcM2TCat1ISk
ICEKIID,38894,58,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051749081769aec1a4e062322f97c,https://api.spotify.com/v1/artists/3RYYha3CC7js2PHbcBHewt
Drake,61849525,98,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",https://i.scdn.co/image/ab676161000051749e46a78c5cd2f7a8e7669980,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4
Majid Jordan,692450,71,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b', 'trap soul']",https://i.scdn.co/image/ab67616100005174d33d15c40225052c58d9eef6,https://api.spotify.com/v1/artists/4HzKw8XcD0piJmDrrPRCYk
Tue Track,1748,38,[],https://i.scdn.co/image/ab676161000051741a2634a83211661293557cf5,https://api.spotify.com/v1/artists/4gkU3V5EzFhsXS7vNPuNKZ
Young Thug,7051531,90,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",https://i.scdn.co/image/ab67616100005174547d2b41c9f2c97318aad0ed,https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn
TJ McCloud,665,8,[],https://i.scdn.co/image/ab67616d00001e028634c5dd999e317acc3d992b,https://api.spotify.com/v1/artists/5Av3hiSMAb3O13fLIYJAgX
MellemFingaMuzik,39550,52,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051740b8b04f2389d2bea05a62631,https://api.spotify.com/v1/artists/6aAQxKW3u9K01sGfdMm5DD
Hans Philip,23300,52,['danish pop'],https://i.scdn.co/image/ab676161000051743f7f9670dc7e62d908bbef5b,https://api.spotify.com/v1/artists/6idjJt47PjFydVRrAlNw4C
UhørT,24,0,[],https://i.scdn.co/image/ab67616100005174beed58100ece549457f6c3e5,https://api.spotify.com/v1/artists/6lmzx7uJJfyH1wIqmAg6eO
Kalash Criminel,1086030,70,"['french hip hop', 'pop urbaine', 'rap francais']",https://i.scdn.co/image/ab676161000051742f4f117f2e33468034db6cf6,https://api.spotify.com/v1/artists/6ytOHdKh4xt4YvF7tz8Zcv
Jonah Auxson,44,0,[],https://i.scdn.co/image/ab67616d00001e02fc71e439ffdbcf4766306843,https://api.spotify.com/v1/artists/73A1FD77PbmxR5OOpwnHZ1
Suspekt,93784,55,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174a4db190f133ebda102664952,https://api.spotify.com/v1/artists/74HomvqoUecDcUPRespyqg
6ix9ine,6675485,76,"['emo rap', 'rap']",https://i.scdn.co/image/ab676161000051740f9be189941db077530d5ae0,https://api.spotify.com/v1/artists/7gZfnEnfiaHzxARJ2LeXrf
