song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Gi’ Mig,2021-12-24T11:32:22Z,2:31,33,1,https://open.spotify.com/track/6gU32YmQ8TDjyeTiqzXMEJ,https://p.scdn.co/mp3-preview/fcc4f797a1ea49aa881989ad76096f725ac6b866?cid=57b733e352a843eab708ae2a3e3c30bc,3 numre i gave fordi de ikke kommer med på pladen,2021-12-24,3,https://i.scdn.co/image/ab67616d00001e0211ee221c07f192dcaeabc559,https://open.spotify.com/album/00S37qvyuiTdcU48N0T6Sm,KIDD,https://open.spotify.com/artist/7Ap8xCd7d0xon5XnkLvn4i
Moonlight Sonata (3rd Movement),2021-12-15T15:27:33Z,7:07,58,7,https://open.spotify.com/track/7wyOeWMb8aiR2qjdCEEYZJ,https://p.scdn.co/mp3-preview/b1d1619ab8b763464d6bdc11cf91994a92f8fe33?cid=57b733e352a843eab708ae2a3e3c30bc,Betoven - Best Piano Pieces,2020-03-06,19,https://i.scdn.co/image/ab67616d00001e02dc9a6325ec5630c8658d5010,https://open.spotify.com/album/417HhG8JiXnGEop7CRC30M,Betoven Collection,https://open.spotify.com/artist/5BWwOqYJwIlEbS858Kmh2E
Calcutta 2008 Basshunter Remix,2021-10-22T18:48:12Z,3:17,39,17,https://open.spotify.com/track/3XYmFqe0XURWtYfkFR9wdD,https://p.scdn.co/mp3-preview/913c40a252572a492077511320947bd0a1671f63?cid=57b733e352a843eab708ae2a3e3c30bc,The Hits,1998-03-05,17,https://i.scdn.co/image/ab67616d00001e0244112d1dcff946dc4ad055bf,https://open.spotify.com/album/2YZL6ONEgUsE5PPEFSBO9n,Dr. Bombay,https://open.spotify.com/artist/5aEE6nBaJ4POGCoFKCpK8K
I Wanna Fuck You,2021-08-07T21:23:16Z,2:58,69,16,https://open.spotify.com/track/1G93i9ga7ZPEOqpiNhM1mq,https://p.scdn.co/mp3-preview/08b0da1f96089c58698ef86553236d045f271bfe?cid=57b733e352a843eab708ae2a3e3c30bc,Tha Blue Carpet Treatment,2006-01-01,21,https://i.scdn.co/image/ab67616d00001e025a62c25459ad69981d5d09ef,https://open.spotify.com/album/5EyEI8tm60S6y2YKbjE0xI,Snoop Dogg,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG
The Art Of Creation,2021-03-18T21:43:53Z,4:01,35,9,https://open.spotify.com/track/5MxMBEwBjRzFDHc3GRNEG9,https://p.scdn.co/mp3-preview/e974263298e8ba87508da5472a704125d71978dd?cid=57b733e352a843eab708ae2a3e3c30bc,Project One,2008-07-11,13,https://i.scdn.co/image/ab67616d00001e0267c7b722fb1f6971b9b0f4f6,https://open.spotify.com/album/42CUJdPapdU3wekfWmt1Ro,Wildstylez,https://open.spotify.com/artist/0wr85NuJuAYZsRzP1lJgiV
Daglige Brød,2021-03-10T16:00:24Z,4:49,45,8,https://open.spotify.com/track/6OUcBSlWDdg3t50Tngl71y,https://p.scdn.co/mp3-preview/bc47183772811a623934e470b495827cdacf5025?cid=57b733e352a843eab708ae2a3e3c30bc,Forbandede Ungdom,2014-05-12,12,https://i.scdn.co/image/ab67616d00001e0241b16b4d9c78ef9ed5bf8a12,https://open.spotify.com/album/2lCbFNOlIAGwncT3nvMwAD,Ukendt Kunstner,https://open.spotify.com/artist/1d5Y2zrhRQ6R0plv652L67
Social Sterility,2020-12-13T15:42:45Z,1:03,14,14,https://open.spotify.com/track/01spbeDkVAa72c8Z51mYG6,https://p.scdn.co/mp3-preview/9b78b9826eaffabf1ac8241bbf47976db0e4bf1f?cid=57b733e352a843eab708ae2a3e3c30bc,From Enslavement To Obliteration (Full Dynamic Range Edition),1988,31,https://i.scdn.co/image/ab67616d00001e02f9559c4cd1bbba862a7ff06d,https://open.spotify.com/album/6re8f0t2NnxYGfOVRTDs8C,Napalm Death,https://open.spotify.com/artist/3UqRgrDIQ208yNGiWKRMNt
Ryst' Pagne,2020-10-23T10:05:49Z,4:17,41,7,https://open.spotify.com/track/0J9W7441lP0XRAWfrrPaIj,https://p.scdn.co/mp3-preview/2e99ecbffdbb62d5c250c554791515cd94faa380?cid=57b733e352a843eab708ae2a3e3c30bc,Kiddæsancen,2014,10,https://i.scdn.co/image/ab67616d00001e02fd71dead080e994a8163024b,https://open.spotify.com/album/1jmbG577Uv7s9qwdclymmI,KIDD,https://open.spotify.com/artist/7Ap8xCd7d0xon5XnkLvn4i
Nielsen's Blues,2020-09-27T22:26:03Z,2:51,0,1,https://open.spotify.com/track/7May62EAiQedGvgGdqa1Tj,,Nielsen's Blues,2020-09-18,1,https://i.scdn.co/image/ab67616d00001e02ca7d585bc70b533054226a51,https://open.spotify.com/album/1FW4toFalDIkPR0NEtL13R,Georg Nielsen,https://open.spotify.com/artist/072HbjeSxLAp9zdrfr3o0c
Patient,2020-07-28T19:05:28Z,3:14,0,8,https://open.spotify.com/track/28boB2CUpgdEDw38645vvd,,Stoney,2016-12-09,14,https://i.scdn.co/image/ab67616d00001e0209a51bd361845073cbd501b7,https://open.spotify.com/album/7J0uECwRkAFLiZljgYFq1w,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
