name,followers,popularity,genres,image_url,external_url
Benal,22599.0,44.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174ba4ae093f98dbec0637c9ecf,https://open.spotify.com/artist/1p2z4hiBCkxfWZ6OvyGBSA
Suspekt,93784.0,55.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174a4db190f133ebda102664952,https://open.spotify.com/artist/74HomvqoUecDcUPRespyqg
Benjamin Hav,10873.0,50.0,['danish pop'],https://i.scdn.co/image/ab67616100005174a0e7ade2e47c2138e4e013cc,https://open.spotify.com/artist/67pwWZtcg7U2P2keoeC9jW
Drake,61849525.0,98.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",https://i.scdn.co/image/ab676161000051749e46a78c5cd2f7a8e7669980,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
Cigarettes After Sex,3397402.0,80.0,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",https://i.scdn.co/image/ab67616100005174184c693111b41bc7f101ce8a,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj
Majid Jordan,692450.0,71.0,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b', 'trap soul']",https://i.scdn.co/image/ab67616100005174d33d15c40225052c58d9eef6,https://open.spotify.com/artist/4HzKw8XcD0piJmDrrPRCYk
Lil Wayne,11745012.0,91.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",https://i.scdn.co/image/ab67616100005174c63aded6f4bf4d06d1377106,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865
Ukendt Kunstner,51715.0,54.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/10e4a579999929d7957add5a3927d43fa7f1cf2d,https://open.spotify.com/artist/1d5Y2zrhRQ6R0plv652L67
Kanye West,16722026.0,96.0,"['chicago rap', 'rap']",https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
Eminem,53461222.0,95.0,"['detroit hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Nik & Jay,167961.0,56.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab6761610000517414b1ce6bcf6cc8d7c070ef15,https://open.spotify.com/artist/71k6SmcYKiIPq8M2RxK2Jr
John Mayer,5446679.0,82.0,"['neo mellow', 'pop rock', 'singer-songwriter']",https://i.scdn.co/image/ab67616100005174265ef5547ecff4dabd6352bf,https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14
L.O.C.,232986.0,55.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051747d4d60cb994ebdb04d700955,https://open.spotify.com/artist/0VUVvNFIyMeIWguwhhImIc
Randy Travis,1293686.0,66.0,"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']",https://i.scdn.co/image/ab67616100005174f6b3b5ecaee21bec54284cdc,https://open.spotify.com/artist/1pTuR132U5b4Rizal2Pr7m
D-Block & S-te-Fan,162691.0,64.0,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",https://i.scdn.co/image/ab676161000051746f362c7d328339395a7e8604,https://open.spotify.com/artist/6L7a6wPGpvLtTwOsMLnF1z
Lil Nas X,9908195.0,89.0,"['lgbtq+ hip hop', 'pop']",https://i.scdn.co/image/ab67616100005174ab6bd6e450cbc7629a9a2381,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Hans Philip,23300.0,52.0,['danish pop'],https://i.scdn.co/image/ab676161000051743f7f9670dc7e62d908bbef5b,https://open.spotify.com/artist/6idjJt47PjFydVRrAlNw4C
Troo.L.S,2432.0,35.0,['danish hip hop'],https://i.scdn.co/image/ab67616d00001e0207aced0af5392ac2f5d30053,https://open.spotify.com/artist/0X7S9BiCFjGRK3U6lazy2J
KIDD,46346.0,55.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174d3e2d62dd8006fc27c75fe36,https://open.spotify.com/artist/7Ap8xCd7d0xon5XnkLvn4i
Justin Timberlake,11802763.0,83.0,"['dance pop', 'pop']",https://i.scdn.co/image/ab676161000051749d3f9efc8e0030306e583cef,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7
DJ Khaled,7272416.0,81.0,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/ab67616100005174bf921114b7f19be97ce29647,https://open.spotify.com/artist/0QHgL1lAIqAw0HtD7YldmP
Ude Af Kontrol,73092.0,59.0,"['dakke dak', 'danish hip hop', 'danish pop']",https://i.scdn.co/image/ab676161000051740f7ecd4e0f8057668efeb6d4,https://open.spotify.com/artist/2ZbyyCS8KLKsuoNlxc76Ev
The Minds Of 99,68400.0,62.0,"['danish alternative rock', 'danish pop', 'danish post-punk', 'danish rock']",https://i.scdn.co/image/ab67616100005174e356963b71f3f59c318f5943,https://open.spotify.com/artist/6GTwMrB4u3hwcUyc9sU1UL
Khalid,15022387.0,90.0,"['pop', 'pop r&b']",https://i.scdn.co/image/ab67616100005174012b37d6dec8872b18524f78,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
JAY-Z,7106464.0,88.0,"['east coast hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ab67616100005174c75afcd5a9027f60eaebb5e4,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
