name,followers,popularity,genres,image_url,external_url
Kanye West,16722026.0,96.0,"['chicago rap', 'rap']",https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
Lil Wayne,11745012.0,91.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",https://i.scdn.co/image/ab67616100005174c63aded6f4bf4d06d1377106,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865
Drake,61849525.0,98.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",https://i.scdn.co/image/ab676161000051749e46a78c5cd2f7a8e7669980,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
Benal,22599.0,44.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/ab67616100005174ba4ae093f98dbec0637c9ecf,https://open.spotify.com/artist/1p2z4hiBCkxfWZ6OvyGBSA
Ukendt Kunstner,51715.0,54.0,"['danish hip hop', 'danish pop']",https://i.scdn.co/image/10e4a579999929d7957add5a3927d43fa7f1cf2d,https://open.spotify.com/artist/1d5Y2zrhRQ6R0plv652L67
John Mayer,5446679.0,82.0,"['neo mellow', 'pop rock', 'singer-songwriter']",https://i.scdn.co/image/ab67616100005174265ef5547ecff4dabd6352bf,https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14
Lil Nas X,9908195.0,89.0,"['lgbtq+ hip hop', 'pop']",https://i.scdn.co/image/ab67616100005174ab6bd6e450cbc7629a9a2381,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Eminem,53461222.0,95.0,"['detroit hip hop', 'hip hop', 'rap']",https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Daniel Caesar,3148935.0,82.0,"['canadian contemporary r&b', 'pop', 'r&b']",https://i.scdn.co/image/ab67616100005174718d4447dae6ba98072371f2,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA
Randy Travis,1293686.0,66.0,"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']",https://i.scdn.co/image/ab67616100005174f6b3b5ecaee21bec54284cdc,https://open.spotify.com/artist/1pTuR132U5b4Rizal2Pr7m
