song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Seasons (with Khalid),4:10,46.0,1.0,https://open.spotify.com/track/19tuFV8B1ckjHzdRrH6Bqs,https://p.scdn.co/mp3-preview/0b02940710cf73c04a1db27f18ad966f0345dabe?cid=57b733e352a843eab708ae2a3e3c30bc,Seasons (with Khalid),2019-08-09,1.0,https://i.scdn.co/image/ab67616d00001e02981621e27eaf58f47401cb4a,https://open.spotify.com/album/39g2Ja05Jgah0iO3TGI11f,6LACK,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83
Begyndelsen,3:18,36.0,1.0,https://open.spotify.com/track/4hNzJSsDdqrQl5HZupVXyF,https://p.scdn.co/mp3-preview/885cdd384a8a466497f42b8eaef348fc927b1139?cid=57b733e352a843eab708ae2a3e3c30bc,Forbandede Ungdom,2014-05-12,12.0,https://i.scdn.co/image/ab67616d00001e0241b16b4d9c78ef9ed5bf8a12,https://open.spotify.com/album/2lCbFNOlIAGwncT3nvMwAD,Ukendt Kunstner,https://open.spotify.com/artist/1d5Y2zrhRQ6R0plv652L67
Better,3:49,75.0,1.0,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,https://p.scdn.co/mp3-preview/8177b402d2016ff5e4cca8e5e45e214abca5b2e3?cid=57b733e352a843eab708ae2a3e3c30bc,Better,2018-09-14,1.0,https://i.scdn.co/image/ab67616d00001e0297bbd3ef27fe0b40b36f8002,https://open.spotify.com/album/6Nd4PYvQ7aYid1Gn6sWgeG,Khalid,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
Udfordring,3:07,7.0,4.0,https://open.spotify.com/track/7dnFiFRJIJvOLOYcySZAaZ,https://p.scdn.co/mp3-preview/66b68f921933f37c59421c2eacc3833f7fd82439?cid=57b733e352a843eab708ae2a3e3c30bc,Farven Lilla,2020-04-03,8.0,https://i.scdn.co/image/ab67616d00001e0225c33ad6eafcf53663042176,https://open.spotify.com/album/3xM2B60vIYtjGFu7pnXa0T,Louis Valuta,https://open.spotify.com/artist/1lQVz8S3x5pS1U22gfie1K
Hollywood's Bleeding,2:36,78.0,1.0,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt,https://p.scdn.co/mp3-preview/051e4a8089335b962fe40e336b00386a07d339df?cid=57b733e352a843eab708ae2a3e3c30bc,Hollywood's Bleeding,2019-09-06,17.0,https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02,https://open.spotify.com/album/4g1ZRSobMefqF6nelkgibi,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
Solhverv,3:33,59.0,1.0,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz,https://p.scdn.co/mp3-preview/5d5bb4cef42f5522de34ec4ea45e24b016b396e4?cid=57b733e352a843eab708ae2a3e3c30bc,Solhverv,2020-06-26,1.0,https://i.scdn.co/image/ab67616d00001e024e587b1639b57a16e9161883,https://open.spotify.com/album/00knk068AEGY1pN5O7Y4Ax,Lord Siva,https://open.spotify.com/artist/5SwsSD9zyWaWeVyK9qIW9l
Arrested Development,3:56,18.0,1.0,https://open.spotify.com/track/4j8vGre00dO8yur34Mqzsv,https://p.scdn.co/mp3-preview/7db011b6ed3826f35232732b6618fc0bd66ae2e8?cid=57b733e352a843eab708ae2a3e3c30bc,Hiphop,2014-05-19,7.0,https://i.scdn.co/image/ab67616d00001e02acef1225cbf8b5ce5068d617,https://open.spotify.com/album/3ztY3wEwMdxsAysoUcn7PM,Benal,https://open.spotify.com/artist/1p2z4hiBCkxfWZ6OvyGBSA
Gå,2:43,31.0,7.0,https://open.spotify.com/track/7Fz1MGCR3Ak7zdd5joqvBn,https://p.scdn.co/mp3-preview/ad4cbdd5e6e2f775157bc0894cbf3108c2e4b08e?cid=57b733e352a843eab708ae2a3e3c30bc,Tesla,2021-03-05,11.0,https://i.scdn.co/image/ab67616d00001e023c7cd37f23ceeb258c7dc8fb,https://open.spotify.com/album/4z0LVLXsxgNf7LaDklX5u7,Benjamin Hav,https://open.spotify.com/artist/67pwWZtcg7U2P2keoeC9jW
Saa Blaa,5:03,47.0,2.0,https://open.spotify.com/track/2zAfQdoOeYujy7QIgDUq9p,https://p.scdn.co/mp3-preview/f829101ae3663dce2aeb3f1569a98dba1ad93d83?cid=57b733e352a843eab708ae2a3e3c30bc,Forevigt,2019-03-17,9.0,https://i.scdn.co/image/ab67616d00001e02fc46d44e8b17fdd5b406874e,https://open.spotify.com/album/5da9pBnFNZSuvcgkvIQYBt,Hans Philip,https://open.spotify.com/artist/6idjJt47PjFydVRrAlNw4C
Rammlied,5:18,60.0,1.0,https://open.spotify.com/track/1jBL8PB3CqDYjR0luCpX00,https://p.scdn.co/mp3-preview/487a6c9f9cd9de7a16f074a4eddbe528ac8af467?cid=57b733e352a843eab708ae2a3e3c30bc,Liebe ist für alle da (Special Edition),2009-10-16,16.0,https://i.scdn.co/image/ab67616d00001e02952d246fd1eac33a1a2c2603,https://open.spotify.com/album/29J0MchD0OWNeiMNbPDwfa,Rammstein,https://open.spotify.com/artist/6wWVKhxIU2cEi0K81v7HvP
Gave Your Love Away,4:45,57.0,2.0,https://open.spotify.com/track/3V35bKSSm4usoSPjdaRGMx,https://p.scdn.co/mp3-preview/d35a89be7d371d45f44ba69ec082a55292f2c69e?cid=57b733e352a843eab708ae2a3e3c30bc,The Space Between,2017-10-27,13.0,https://i.scdn.co/image/ab67616d00001e022aa5030882fa68960eaa02e1,https://open.spotify.com/album/6QC8G4HVk9lkbpxugU7ZgF,Majid Jordan,https://open.spotify.com/artist/4HzKw8XcD0piJmDrrPRCYk
Dagdrøm [1],3:56,51.0,4.0,https://open.spotify.com/track/6pa0cDzwcgekEdoLqTXoTS,https://p.scdn.co/mp3-preview/4d3fa2c9bf623ce1381bf836ac6baf83e49f895c?cid=57b733e352a843eab708ae2a3e3c30bc,Forevigt,2019-03-17,9.0,https://i.scdn.co/image/ab67616d00001e02fc46d44e8b17fdd5b406874e,https://open.spotify.com/album/5da9pBnFNZSuvcgkvIQYBt,Hans Philip,https://open.spotify.com/artist/6idjJt47PjFydVRrAlNw4C
ErruDumEllaHvad,2:28,61.0,1.0,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ,https://p.scdn.co/mp3-preview/5d2c09a94e64d0395fc1b7f26c48ebbe58665fa9?cid=57b733e352a843eab708ae2a3e3c30bc,ErruDumEllaHvad,2020-06-12,1.0,https://i.scdn.co/image/ab67616d00001e02f6538e8c8b945f79e9524a83,https://open.spotify.com/album/6X1t3OqSHWM8zFEjGKHcyN,ICEKIID,https://open.spotify.com/artist/3RYYha3CC7js2PHbcBHewt
Kickstart My Heart,4:42,71.0,5.0,https://open.spotify.com/track/7GonnnalI2s19OCQO1J7Tf,,Dr. Feelgood,1989,16.0,https://i.scdn.co/image/ab67616d00001e029a81658775e67d37b9e13be1,https://open.spotify.com/album/6pL7kL9cOc0DpWCq6qJtxQ,Mötley Crüe,https://open.spotify.com/artist/0cc6vw3VN8YlIcvr1v7tBL
Patient,3:14,66.0,8.0,https://open.spotify.com/track/5DLTuH4A5VZB2HKpqHQR6t,https://p.scdn.co/mp3-preview/dddd55c861ee52d50e411fc8d60fe8af4e0fe58b?cid=57b733e352a843eab708ae2a3e3c30bc,Stoney (Deluxe),2016-12-09,18.0,https://i.scdn.co/image/ab67616d00001e0255404f712deb84d0650a4b41,https://open.spotify.com/album/5s0rmjP8XOPhP6HhqOhuyC,Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
Den Dejligste Boy,3:23,46.0,1.0,https://open.spotify.com/track/5Hm1Ro0vPdIR1OE1LrYNKq,https://p.scdn.co/mp3-preview/b1084c8a149b372fbe2bb3ea0f616e463eedc5c8?cid=57b733e352a843eab708ae2a3e3c30bc,Den Dejligste Boy,2021-02-05,1.0,https://i.scdn.co/image/ab67616d00001e0218cd91fafecdffe73d469687,https://open.spotify.com/album/0zqNWCi5jQAC6mkcPRBSRR,Benjamin Hav,https://open.spotify.com/artist/67pwWZtcg7U2P2keoeC9jW
Kolde Tider,3:23,23.0,4.0,https://open.spotify.com/track/5qu6vyYjejfWsmZgj5MQyr,https://p.scdn.co/mp3-preview/4b3a1060eb54b718deb4f0c567b97f6dc77513b1?cid=57b733e352a843eab708ae2a3e3c30bc,5 Drab,2016-02-17,5.0,https://i.scdn.co/image/ab67616d00001e02b6c536f5e204f8b66cb361ad,https://open.spotify.com/album/5hnTrpxzbmi3tAf14zmpv4,ADAM,https://open.spotify.com/artist/2zHudI49ixTYQCOk3JqcYn
Stjernerne,3:21,58.0,1.0,https://open.spotify.com/track/6bGEf1NKIcpuqlo4BfLy7V,https://p.scdn.co/mp3-preview/1db61ebcb73b2d55d6f0d0dec27255b1c7107a1e?cid=57b733e352a843eab708ae2a3e3c30bc,Stjernerne,2020-12-25,1.0,https://i.scdn.co/image/ab67616d00001e02068c248feabef98f7f4c3ce6,https://open.spotify.com/album/4JS69UxvpMFy6pemPtY6Dx,Lord Siva,https://open.spotify.com/artist/5SwsSD9zyWaWeVyK9qIW9l
The Only Way Is Up - Radio Edit,3:09,52.0,1.0,https://open.spotify.com/track/0uvFFLI3Z6zidLLUsHDVVk,https://p.scdn.co/mp3-preview/2ddcda61622b140897446fe1070cca1c44f61600?cid=57b733e352a843eab708ae2a3e3c30bc,The Only Way Is Up,2015-12-11,2.0,https://i.scdn.co/image/ab67616d00001e023b4efc2263ea429d794bf7ee,https://open.spotify.com/album/7uRMRN3i207cnrLWzJIfRE,Martin Garrix,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ
Sort sort sort - Live,1:17,23.0,1.0,https://open.spotify.com/track/7CwMd2v4VkIO9LmhmXn32g,https://p.scdn.co/mp3-preview/94d8650d092928375a7ee0416f54aa51ea845cd0?cid=57b733e352a843eab708ae2a3e3c30bc,Det var en torsdag aften (Live),2018-11-09,32.0,https://i.scdn.co/image/ab67616d00001e02c3ac2d8d8a62d6b857931698,https://open.spotify.com/album/6APFBZD2G5o5QTcxiO5cOC,Kim Larsen,https://open.spotify.com/artist/2ZQifdPOptKHxTaYTLh0BC
Bare Dans,2:56,49.0,1.0,https://open.spotify.com/track/64NE79ro3Tys4qbek51rBP,https://p.scdn.co/mp3-preview/5b3ad87608266c17c1dcb45e7c03bb52615f859c?cid=57b733e352a843eab708ae2a3e3c30bc,Bare Dans,2020-05-08,1.0,https://i.scdn.co/image/ab67616d00001e02f6985f6bc72a1de07e5925aa,https://open.spotify.com/album/0WIPejk8iwHY6OPExSPEJ0,KIDD,https://open.spotify.com/artist/7Ap8xCd7d0xon5XnkLvn4i
