song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
THATS WHAT I WANT,2:23,96.0,4.0,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=57b733e352a843eab708ae2a3e3c30bc,MONTERO,2021-09-17,15.0,https://i.scdn.co/image/ab67616d00001e02be82673b5f79d9658ec0a9fd,https://open.spotify.com/album/6pOiDiuDQqrmo5DbG0ZubR,Lil Nas X,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq
Best Part (feat. H.E.R.),3:29,80.0,2.0,https://open.spotify.com/track/1RMJOxR6GRPsBHL8qeC2ux,https://p.scdn.co/mp3-preview/9daee70846dca6c7d4a7614bfb8a04faf8793f66?cid=57b733e352a843eab708ae2a3e3c30bc,Freudian,2017-08-25,10.0,https://i.scdn.co/image/ab67616d00001e023138f891f3075c9c5d944037,https://open.spotify.com/album/3xybjP7r2VsWzwvDQipdM0,Daniel Caesar,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA
City Morning Views,3:11,61.0,1.0,https://open.spotify.com/track/2fUmBPjqtxx9V6dF3CVGk8,https://p.scdn.co/mp3-preview/cb3418921a4b6c0b17c22f4b97fc79abbfb5ce67?cid=57b733e352a843eab708ae2a3e3c30bc,City Morning Views,2021-02-05,1.0,https://i.scdn.co/image/ab67616d00001e025d14cf7de5430ac596bc1174,https://open.spotify.com/album/15uAA6uYsCFT8qln2cPELk,Carrie Carlton Quartet,https://open.spotify.com/artist/1OCZIvbtTZEb26s3MDIxRG
Under Din Sne,4:26,66.0,4.0,https://open.spotify.com/track/3LlqJkcXMBIAE5X1uUiZUN,https://p.scdn.co/mp3-preview/053c6375c03f963009e39ff87c870f9e9fbc91e8?cid=57b733e352a843eab708ae2a3e3c30bc,Infinity Action,2022-01-07,14.0,https://i.scdn.co/image/ab67616d00001e0273c4eed6dbfd71796bf1ff28,https://open.spotify.com/album/6GLTwo1oKgINl5zKMPuBWM,The Minds Of 99,https://open.spotify.com/artist/6GTwMrB4u3hwcUyc9sU1UL
Moth To A Flame (with The Weeknd),3:54,92.0,1.0,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA,https://p.scdn.co/mp3-preview/18dc3642cc0585b5adf12984cf614018763fce77?cid=57b733e352a843eab708ae2a3e3c30bc,Moth To A Flame,2021-10-22,1.0,https://i.scdn.co/image/ab67616d00001e022751f15ff6c8174e540b6fb4,https://open.spotify.com/album/3udIvIqyBG1RrHxXrUZDoK,Swedish House Mafia,https://open.spotify.com/artist/1h6Cn3P4NGzXbaXidqURXs
"Recognize (with Mercer, feat. Majid Jordan) - Mercer Remix",4:36,43.0,1.0,https://open.spotify.com/track/366EdrGaHsiq1JLEr9UUiJ,https://p.scdn.co/mp3-preview/a2e8a2f91c2145c52be968071f84ec50bc3f3121?cid=57b733e352a843eab708ae2a3e3c30bc,"Recognize (with Mercer, feat. Majid Jordan) [Mercer Remix]",2019-09-27,1.0,https://i.scdn.co/image/ab67616d00001e028da21c0da6566b926b7dea6b,https://open.spotify.com/album/4yAElr6AmHVYHOgC3c0sKk,DJ Snake,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4
Better,3:49,75.0,1.0,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,https://p.scdn.co/mp3-preview/8177b402d2016ff5e4cca8e5e45e214abca5b2e3?cid=57b733e352a843eab708ae2a3e3c30bc,Better,2018-09-14,1.0,https://i.scdn.co/image/ab67616d00001e0297bbd3ef27fe0b40b36f8002,https://open.spotify.com/album/6Nd4PYvQ7aYid1Gn6sWgeG,Khalid,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
Slow Down,3:14,64.0,3.0,https://open.spotify.com/track/0jPEWByX9DZAQb5zyQ6eng,https://p.scdn.co/mp3-preview/5335b3be25c2db46aaf81b779c073f17082891fb?cid=57b733e352a843eab708ae2a3e3c30bc,Higher Place,2020-08-28,7.0,https://i.scdn.co/image/ab67616d00001e021e310ac72c0b4221ac8cc6b5,https://open.spotify.com/album/3LrRzezQmsqxC2eyqVvdAr,Skip Marley,https://open.spotify.com/artist/4ryoUS0W8qXokfMxrlJt6O
Good Morning,3:15,75.0,1.0,https://open.spotify.com/track/6MXXY2eiWkpDCezVCc0cMH,https://p.scdn.co/mp3-preview/e04f4f967a75644078dd81cdfb9e37b8563f1e7f?cid=57b733e352a843eab708ae2a3e3c30bc,Graduation,2007-09-11,14.0,https://i.scdn.co/image/ab67616d00001e0226f7f19c7f0381e56156c94a,https://open.spotify.com/album/4SZko61aMnmgvNhfhgTuD3,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
"Symphony N°3 in F major, Op. 90: III. Poco Allegretto",5:17,20.0,13.0,https://open.spotify.com/track/0MBKsypuLXdh5H9kDbFP35,https://p.scdn.co/mp3-preview/4a147d6272a1c93d21f68f8368e9c23694fdfb2a?cid=57b733e352a843eab708ae2a3e3c30bc,The London Symphony Orchestra: The Top 100 of Classical Music,2010-01-11,100.0,https://i.scdn.co/image/ab67616d00001e026ef6de463579adbc021c74c2,https://open.spotify.com/album/1VVCxUFIILH9TlMaO4gHPK,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
