track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
4SjEdGI6Otmo5DRxAXKS9o,5,0,4,285147,125.984,0.453,0.227,-12.418,0.0285,0.712,0.468,0.108,0.161
0LWBnkNzqqVuHrWL7hjlFg,3,0,1,151023,95.395,0.271,0.105,-14.212,0.0329,0.798,0.000509,0.134,0.0599
4j8vGre00dO8yur34Mqzsv,0,1,4,236275,81.907,0.592,0.291,-15.301,0.074,0.937,0.102,0.196,0.296
5kf8d9DoYJbQmiaYjsPobn,9,1,4,167226,154.737,0.535,0.671,-7.542,0.315,0.0627,0.0,0.0772,0.442
0e8nrvls4Qqv5Rfa2UhqmO,1,0,4,143901,87.981,0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546
3ly0KiqLSwqMeAdz7PSf3b,6,0,4,134668,102.963,0.798,0.651,-6.39,0.294,0.151,0.0,0.0814,0.8
4T3fNx3CgwDRRYgmFCbD4J,0,0,4,229413,97.565,0.442,0.585,-10.332,0.0964,0.0984,0.391,0.14,0.116
1Xw5Z5hKD9517lYHZ5WuIg,0,0,4,272173,82.07,0.655,0.384,-12.844,0.0989,0.69,0.00469,0.146,0.145
27NovPIUIRrOZoCHxABJwK,3,0,4,212000,149.995,0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894
7mWm9dmaJfCcxPsTKyB60b,9,0,4,120226,121.946,0.876,0.518,-8.2,0.197,0.0157,0.000179,0.0997,0.578
4JC18crxRPZOuTqBfXKFIR,3,0,4,173380,123.99,0.874,0.899,-3.046,0.248,0.283,0.0,0.235,0.831
2UKvxuMTM7JwprZrnpxgY1,4,1,4,269933,80.388,0.521,0.298,-12.474,0.026,0.754,0.46,0.11,0.232
6hZ8By7KCojHP5lGnL5LRL,2,0,4,173337,95.767,0.589,0.357,-11.496,0.516,0.489,0.012,0.103,0.283
3MxF3hGjTAGv7cbIBPN1WS,9,0,4,254467,95.409,0.79,0.245,-10.35,0.338,0.843,0.000155,0.11,0.761
4b3khTm3ufGRTyZwuYdasn,6,1,3,262560,96.722,0.414,0.369,-9.606,0.0262,0.453,0.501,0.0985,0.17
0evQsRfTyga57pcv6bcvJT,0,0,4,245267,147.043,0.401,0.809,-4.633,0.0423,0.0223,0.000273,0.0626,0.415
69Sy7207dnixZ6w7RSV9Kb,8,0,4,192881,176.791,0.459,0.663,-5.939,0.1,0.0169,0.0,0.0621,0.412
6ilc4vQcwMPlvAHFfsTGng,6,1,4,292110,96.563,0.45,0.511,-9.073,0.0276,0.353,0.766,0.139,0.115
366EdrGaHsiq1JLEr9UUiJ,0,0,4,276000,120.007,0.701,0.748,-4.24,0.0515,0.0137,0.0673,0.218,0.851
4hNzJSsDdqrQl5HZupVXyF,11,1,4,198989,81.967,0.349,0.76,-7.774,0.269,0.0498,1.83e-05,0.0674,0.206
43AAJstcEBPh7H4AC0D6n1,1,1,3,284143,99.411,0.457,0.126,-13.874,0.0346,0.928,3.75e-06,0.0978,0.1
0EVWeNlLITV7JcvpG3VBx6,7,0,4,194990,100.019,0.778,0.483,-9.31,0.0715,0.407,0.0504,0.0826,0.474
6jaa12U9YltSWRH5GJDS69,3,0,4,182731,96.083,0.755,0.505,-6.974,0.232,0.293,0.000452,0.0763,0.619
