name,followers,popularity,genres,image_url,external_url
Nume,2193.0,44.0,[],https://i.scdn.co/image/ab6761610000517432c25d50ff3cbc0192e9c696,https://open.spotify.com/artist/62tV1e6rfkhuGPewxuOsjD
Zoro&Buzz,24744.0,45.0,['greek underground rap'],https://i.scdn.co/image/ab676161000051746a2e933c90456b74b870a6d7,https://open.spotify.com/artist/1lqh5puCZTMsGJalV8Rjbe
Buzz,5903.0,36.0,[],https://i.scdn.co/image/ab6761610000517492d027e6d656d8f0bde8d186,https://open.spotify.com/artist/72psY0qma8uEbuSXL8LtT5
Downtown,7110.0,33.0,"['greek drill', 'greek underground rap']",https://i.scdn.co/image/ab67616100005174fe6f2262aaad1813e496faff,https://open.spotify.com/artist/118OwtHPdC5az020NjWgoV
Fer de Lance,8191.0,35.0,['greek underground rap'],https://i.scdn.co/image/ab67616d00001e02706107d9f9205e86c7667fa9,https://open.spotify.com/artist/5PYdmvWY1gtKiCvmJ4tgYW
Raps On The Run,3684.0,44.0,['greek drill'],https://i.scdn.co/image/ab67616100005174f873822ce351f9d10a12535a,https://open.spotify.com/artist/2YFvN3qj5M2AMSQZ3jP1pD
Mikros Kleftis,41830.0,49.0,"['greek hip hop', 'greek underground rap']",https://i.scdn.co/image/ab676161000051741f3196221ae220aedc70aa6a,https://open.spotify.com/artist/1WNkrtDTdQ5izZf5L372i9
Anser,35437.0,44.0,"['greek trap', 'greek underground rap']",https://i.scdn.co/image/ab67616100005174f77d1f7e7cc9ed6fa5c1b430,https://open.spotify.com/artist/3peCLl6eMLh8lJyRUt4jc8
Sadam,33806.0,44.0,"['greek drill', 'greek trap', 'greek underground rap']",https://i.scdn.co/image/ab676161000051746d42e1761b6a7a548a072e9b,https://open.spotify.com/artist/5svarA8QyRUWetgH9ZouQq
Wang,19660.0,49.0,['greek drill'],https://i.scdn.co/image/ab676161000051745baf56b12e7348e7a9b375bf,https://open.spotify.com/artist/3ef2an5giEP6Hc60lKEVEy
Tzamal,43484.0,39.0,"['greek hip hop', 'greek underground rap']",https://i.scdn.co/image/ab67616100005174bb575091a6b7b11ba82e049e,https://open.spotify.com/artist/3f3h06ii1hc3dmFiuLNAQq
Stixoima,19302.0,39.0,['greek hip hop'],https://i.scdn.co/image/ab67616d00001e021eb1c1b45037ee9c8346d7b2,https://open.spotify.com/artist/5RbSA2rN3Z1OChfNSZ8Jqz
sponty.,6585.0,33.0,['greek underground rap'],https://i.scdn.co/image/ab67616100005174656b282101c1dc7196d1c2f5,https://open.spotify.com/artist/6DSgvyDzMvtQ7dAkLdNwo5
Mpelafon,4219.0,37.0,['greek underground rap'],https://i.scdn.co/image/ab67616100005174c49f2ecf87a132318f15ee88,https://open.spotify.com/artist/0bWNsLp2zKgUNInup4gU9F
Bitapeis,6274.0,38.0,[],https://i.scdn.co/image/ab6761610000517445b0e24aa8b9983cd0c7b889,https://open.spotify.com/artist/5Gb9GaGZGyJqz3EV5NR5e2
HGEMONA$,29674.0,50.0,['greek drill'],https://i.scdn.co/image/ab67616100005174c7dac7e6085cfb7967b8fc8b,https://open.spotify.com/artist/1POlf5v8Q8ciCcWlAcxnEm
Novel 729,37230.0,44.0,['greek underground rap'],https://i.scdn.co/image/ab67616100005174fde538413f7b26f345f6140a,https://open.spotify.com/artist/4664bpPyFIkTMQGUVnqeAo
Kanon,24556.0,41.0,"['greek hip hop', 'greek underground rap']",https://i.scdn.co/image/ab6761610000517496828291fa12d7896d19ae56,https://open.spotify.com/artist/1ssOY5fx4efqZ0RXZ4M3PJ
Dof Twogee,33311.0,52.0,"['greek drill', 'greek hip hop']",https://i.scdn.co/image/ab67616100005174b7a0cb039f516cc519677168,https://open.spotify.com/artist/1OJxI4NQfY6osMvhfRMMEX
JV,2619.0,34.0,['greek drill'],https://i.scdn.co/image/ab6761610000517486c198b75dd305653d73e151,https://open.spotify.com/artist/4on0ZKQawQbKtMn38c5aIS
D12,2245581.0,70.0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'rap rock', 'southern hip hop']",https://i.scdn.co/image/1e2e08b41628310eec1a4659367513e82243ab4b,https://open.spotify.com/artist/5Qi4Bb7a8C0a00NZcA77L0
Bad Meets Evil,1388795.0,64.0,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",https://i.scdn.co/image/4f153c72bff6dccba21ffd360fc308f268a23659,https://open.spotify.com/artist/77IURH5NC56Jn09QHi76is
The Game,3876795.0,78.0,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://i.scdn.co/image/ab67616100005174a657aa5506945d264e147244,https://open.spotify.com/artist/0NbfKEOTQCcwd6o7wSDOHI
