song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Τσούλες της γης,3:40,0.0,9.0,https://open.spotify.com/track/7MbU0JJL2GXaUFJgdOKxFy,https://p.scdn.co/mp3-preview/064a98f0d642d162a340184856b124b1651b51a4?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Κάντο Σωστά,3:47,0.0,5.0,https://open.spotify.com/track/2Sw7LBmoOW4bmIEuZSSslW,https://p.scdn.co/mp3-preview/3e7934a335f599873a777b9b070d0583aa2ffec6?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Ψυχραιμία (Τυφλός Οδηγός),3:07,0.0,10.0,https://open.spotify.com/track/6qNDY3nNKI7iZa8WuLWzEX,https://p.scdn.co/mp3-preview/61edbd891c6d075826cbb67312e18df45ffc7ffb?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Vodka Vissino,3:53,49.0,2.0,https://open.spotify.com/track/32pGx4BcNxv16Xtj2vHMsV,,Chica,2021-06-25,11.0,https://i.scdn.co/image/ab67616d00001e02f971cc13a23f33a58675c54d,https://open.spotify.com/album/47NOrUHeB9XJOGR26XxamC,Marseaux,https://open.spotify.com/artist/6hyFvbMnKrLVujJZnovsWz
Μου το 'δωσε η μαμά,3:06,0.0,6.0,https://open.spotify.com/track/3BEQPCnAii0yJynh7yFIko,https://p.scdn.co/mp3-preview/9afcd91e8d5b234ee50e228560ffdd2dbb6a75f2?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Budapest,3:51,66.0,1.0,https://open.spotify.com/track/3R2Q1LmK9NNwwSihGD9tI7,https://p.scdn.co/mp3-preview/e2e4c127b5719e7fb0c5b495713be1b14aaafe8a?cid=57b733e352a843eab708ae2a3e3c30bc,Budapest,2022-02-14,1.0,https://i.scdn.co/image/ab67616d00001e0222435387dc603d4fec21c282,https://open.spotify.com/album/04vGhvVVbDVm5VkJHJGuHc,Lasse Skriver,https://open.spotify.com/artist/3ehJII4G3bu26Ga4IurYBp
You Get In Love,3:52,26.0,5.0,https://open.spotify.com/track/3UZkShVKtIFhJHjVbBJeQA,,Iparhoun Hrisopsara Edo?,2014-01-01,28.0,https://i.scdn.co/image/ab67616d00001e02dea95e6325201e31c79a7b58,https://open.spotify.com/album/4KFStnl2eMDDGv205vJnaE,Pix Lax,https://open.spotify.com/artist/0UHy12S8f94Sa0jc4dd6Jz
Krouaziera,3:30,40.0,1.0,https://open.spotify.com/track/4qU5z5EcCpCf5NCenKBPkI,https://p.scdn.co/mp3-preview/8c29e2b5f100dede044a2af41ac1069caed580ae?cid=57b733e352a843eab708ae2a3e3c30bc,Erotiko Kourdisma,2008-02-07,12.0,https://i.scdn.co/image/ab67616d00001e021a859091c1e3942d322d3fc4,https://open.spotify.com/album/0JwINvW20UopYDmwtixrRB,Vaggelis Germanos,https://open.spotify.com/artist/0kj2q6SLR1G9zFp509cJ8x
Joker And The Thief,4:39,68.0,6.0,https://open.spotify.com/track/6dNJ3lasVLPd0078T9yqlm,,Wolfmother,2005-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02335534788cbc39cfd23ee993,https://open.spotify.com/album/0NV96Rqo10ytbCHlR14E8r,Wolfmother,https://open.spotify.com/artist/3yEnArbNHyTCwMRvD9SBy4
Colombiano,3:00,0.0,2.0,https://open.spotify.com/track/6lOt6NA2TPDjSiGt5izBFF,https://p.scdn.co/mp3-preview/e334fe72d9151e56fcd27996c0034dc0ee3afe94?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Protevousa,3:35,40.0,1.0,https://open.spotify.com/track/7nkPt2fzmlQzXcZGSoTAnh,https://p.scdn.co/mp3-preview/3e5eaa6684475b74deb225d178c97c3db32667c0?cid=57b733e352a843eab708ae2a3e3c30bc,Protevousa,2021-06-23,1.0,https://i.scdn.co/image/ab67616d00001e023c68f1ed786937babd002699,https://open.spotify.com/album/5KXmZAgsa67mKaUNHBJTFg,Ethismos,https://open.spotify.com/artist/3us9fVKGxelK4OfEMng997
Den Se Thelo Pia - I Don't Want You Anymore,3:53,2.0,1.0,https://open.spotify.com/track/1oP9iCLcnXdyDc9aGdIzum,https://p.scdn.co/mp3-preview/478552d7b1dd5e1f95778ff86e2ead213ae05aa2?cid=57b733e352a843eab708ae2a3e3c30bc,Greek Rap - Rare Singles & Remixes,2011-11-04,50.0,https://i.scdn.co/image/ab67616d00001e0281cab32b5ef6bf1574726987,https://open.spotify.com/album/03stRFJwcJwyKCCkKA70Id,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Mia Sinousia Mistiki,4:38,39.0,6.0,https://open.spotify.com/track/1usapql0XxswF19XsReQDh,,Stilvi,1998-03-13,16.0,https://i.scdn.co/image/ab67616d00001e02138589390ee322a524773a5c,https://open.spotify.com/album/5kcs43KmjBZUbjaaWJteHw,Pix Lax,https://open.spotify.com/artist/0UHy12S8f94Sa0jc4dd6Jz
Senor (Tales Of Yankee Power) - Live,4:41,8.0,18.0,https://open.spotify.com/track/24yBnFYWO3iW5PhbXw41Io,,Iparhoun Hrisopsara Edo?,2014-01-01,28.0,https://i.scdn.co/image/ab67616d00001e02dea95e6325201e31c79a7b58,https://open.spotify.com/album/4KFStnl2eMDDGv205vJnaE,Pix Lax,https://open.spotify.com/artist/0UHy12S8f94Sa0jc4dd6Jz
Shit Hits The Fan,4:52,72.0,8.0,https://open.spotify.com/track/1r3cH3Y1QGe8VseL8GEvn2,,Cheers,2003-01-01,17.0,https://i.scdn.co/image/ab67616d00001e02eb252b9956a0ca5a38447060,https://open.spotify.com/album/7exM52pkWRKdoZqkheCRCC,Obie Trice,https://open.spotify.com/artist/2XnnxQzxFZG8qEPjakokPM
To Tragoydi Ton Seirinon,2:37,23.0,5.0,https://open.spotify.com/track/2l8WuhElT0BX6ClEjN4prw,https://p.scdn.co/mp3-preview/98ab63df725570b6123111fc215cd97dbbd0c8c3?cid=57b733e352a843eab708ae2a3e3c30bc,Alexandreia,2021-04-16,9.0,https://i.scdn.co/image/ab67616d00001e020946a957d9986be11fb79d7a,https://open.spotify.com/album/6vXgK4hO0B85sWAVlmntKo,Rapsodos Filologos,https://open.spotify.com/artist/2q1RJcnGSwrhT6pP2Ce8UU
Το άγαλμα,3:12,0.0,1.0,https://open.spotify.com/track/4SImgGgXek6xGgHcQQ7ayV,https://p.scdn.co/mp3-preview/1b3000c807892a0a1d31c1b6ec48c154ecec1558?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Φαντασίωση,3:18,0.0,4.0,https://open.spotify.com/track/6tQtHN4zYUrjkAcnt7Pv7g,https://p.scdn.co/mp3-preview/aac633227a13cc1fa1dd60aa4905341d52af26b8?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Ekeino,3:07,22.0,3.0,https://open.spotify.com/track/4laaPMRlzzn3x5AxIhoXWd,https://p.scdn.co/mp3-preview/dd079e460635190c5dc99f38c9b5edfdca5349bb?cid=57b733e352a843eab708ae2a3e3c30bc,Alexandreia,2021-04-16,9.0,https://i.scdn.co/image/ab67616d00001e020946a957d9986be11fb79d7a,https://open.spotify.com/album/6vXgK4hO0B85sWAVlmntKo,Rapsodos Filologos,https://open.spotify.com/artist/2q1RJcnGSwrhT6pP2Ce8UU
Stronger,5:11,85.0,3.0,https://open.spotify.com/track/0j2T0R9dR9qdJYsB7ciXhf,,Graduation,2007-09-11,14.0,https://i.scdn.co/image/ab67616d00001e0226f7f19c7f0381e56156c94a,https://open.spotify.com/album/4SZko61aMnmgvNhfhgTuD3,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
Τέλεια Ατελείς,3:43,47.0,4.0,https://open.spotify.com/track/1TIh2kvS7n9iQtlO5aHs06,https://p.scdn.co/mp3-preview/3da6d350531b0388e3477b780a5f6bb9cd1988a8?cid=57b733e352a843eab708ae2a3e3c30bc,This Is Marseaux,2020-07-21,18.0,https://i.scdn.co/image/ab67616d00001e022799fc6b06f9f13f3f2967cd,https://open.spotify.com/album/5cnAgsf4SyVPdryBfTL6gj,Marseaux,https://open.spotify.com/artist/6hyFvbMnKrLVujJZnovsWz
Ότι να 'ναι,4:10,0.0,7.0,https://open.spotify.com/track/1nFciFRAx9TcSHYHF2pCdE,https://p.scdn.co/mp3-preview/2c3efede9253bd8c0bdfff419fd01aac3bb1add6?cid=57b733e352a843eab708ae2a3e3c30bc,Luben Pop,2020-03-25,10.0,https://i.scdn.co/image/ab67616d00001e02afad744f02ce24d254662d41,https://open.spotify.com/album/4GlxdPKKBtIQvOioj2UxGY,Volo Der No,https://open.spotify.com/artist/61aHhgEkuEqwwnyxAwh9fM
Chapter 1.1 - I am learning Danish,3:06,10.0,1.0,https://open.spotify.com/track/2nEIbYNSChIJO6vhMcwdSh,https://p.scdn.co/mp3-preview/775752781bc02e1c40a7b1f8dfb58692673e6089?cid=57b733e352a843eab708ae2a3e3c30bc,"I am learning Danish (""Listen, Repeat, Speak"" language learning course)",2019-01-01,71.0,https://i.scdn.co/image/ab67616d00001e02771b677b1f517549c65ee57c,https://open.spotify.com/album/1nZCZhbQip6GbrEbCTFmtI,JM Gardner,https://open.spotify.com/artist/1nHYxrz5pIKHepXjULmrQF
