track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
7MbU0JJL2GXaUFJgdOKxFy,11,1,4,220976,118.985,0.509,0.739,-5.336,0.0407,0.00878,0,0.265,0.575
2Sw7LBmoOW4bmIEuZSSslW,10,1,4,227300,199.926,0.38,0.667,-6.087,0.0522,0.0261,0,0.168,0.364
6qNDY3nNKI7iZa8WuLWzEX,6,0,4,187472,132.016,0.646,0.942,-5.143,0.217,0.00461,0,0.0939,0.782
32pGx4BcNxv16Xtj2vHMsV,1,0,4,233070,120.009,0.762,0.682,-3.77,0.0449,0.273,0,0.0918,0.701
3BEQPCnAii0yJynh7yFIko,10,1,4,186799,120.114,0.7,0.918,-4.855,0.0757,0.0537,0,0.144,0.776
3R2Q1LmK9NNwwSihGD9tI7,5,1,4,231755,112.904,0.725,0.24,-7.96,0.0313,0.745,0,0.119,0.299
3UZkShVKtIFhJHjVbBJeQA,0,1,4,232760,100.035,0.613,0.604,-7.463,0.034,0.247,5.54e-06,0.349,0.699
4qU5z5EcCpCf5NCenKBPkI,11,1,4,210893,125.761,0.699,0.389,-10.273,0.0394,0.696,1.09e-05,0.113,0.637
6dNJ3lasVLPd0078T9yqlm,0,1,4,279667,155.558,0.264,0.8,-2.427,0.0537,0.0195,0.00744,0.406,0.465
6lOt6NA2TPDjSiGt5izBFF,6,0,4,180000,105.102,0.672,0.82,-4.722,0.0629,0.119,0,0.251,0.522
7nkPt2fzmlQzXcZGSoTAnh,7,1,4,215055,125.031,0.772,0.58,-11.34,0.335,0.405,1.84e-05,0.0899,0.404
1oP9iCLcnXdyDc9aGdIzum,5,1,4,233280,93.015,0.841,0.694,-10.299,0.396,0.0179,0,0.124,0.644
1usapql0XxswF19XsReQDh,7,1,4,278320,114.471,0.721,0.506,-10.745,0.0417,0.244,1.01e-06,0.134,0.56
24yBnFYWO3iW5PhbXw41Io,7,1,4,281773,137.162,0.492,0.45,-12.651,0.028,0.669,0.0298,0.114,0.45
1r3cH3Y1QGe8VseL8GEvn2,1,1,4,292013,91.984,0.786,0.9,-0.839,0.205,0.0262,0.0235,0.306,0.627
2l8WuhElT0BX6ClEjN4prw,9,1,4,157667,89.958,0.638,0.517,-11.703,0.119,0.326,0.000113,0.141,0.193
4SImgGgXek6xGgHcQQ7ayV,7,1,4,192000,110.021,0.692,0.83,-5.349,0.0992,0.0569,0,0.33,0.692
6tQtHN4zYUrjkAcnt7Pv7g,6,1,4,198342,100.156,0.597,0.889,-4.714,0.0581,0.0846,0,0.129,0.726
4laaPMRlzzn3x5AxIhoXWd,7,0,4,187987,171.957,0.466,0.418,-13.82,0.175,0.194,0.000387,0.113,0.0366
0j2T0R9dR9qdJYsB7ciXhf,10,0,4,311867,103.992,0.617,0.717,-7.858,0.153,0.00564,0,0.408,0.49
1TIh2kvS7n9iQtlO5aHs06,7,1,3,223104,120.152,0.623,0.815,-5.323,0.0766,0.322,0,0.263,0.638
1nFciFRAx9TcSHYHF2pCdE,2,1,4,250606,111.06,0.738,0.825,-5.084,0.0589,0.115,0,0.12,0.713
2nEIbYNSChIJO6vhMcwdSh,8,1,4,186100,139.777,0.66,0.315,-19.218,0.905,0.374,0,0.225,0.218
3AVXwaOGCEL8cmBecfcsFJ,6,1,4,185681,184.009,0.69,0.626,-5.693,0.306,0.105,0.000335,0.0881,0.912
3mw5oTX9Nh8ApWm1sOmV0p,9,1,4,219917,117.079,0.622,0.917,-6.287,0.0889,0.0107,0,0.497,0.481
3uUuGVFu1V7jTQL60S1r8z,6,0,4,148197,120.966,0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262
49clGe0PtbYUx3vB7tyk3A,4,0,4,214320,129.464,0.773,0.627,-6.037,0.0316,0.00614,3.13e-06,0.0963,0.666
4DVOsxcYoOPd0Su0lzULed,6,0,4,174587,123.054,0.865,0.819,-6.414,0.139,0.133,0,0.202,0.936
4Luw3mpCVFDalDEIKuGOv3,4,0,4,168798,127.91,0.756,0.717,-5.135,0.054,0.0395,0,0.421,0.501
4NlZMh26pWn34TQ0luNEmj,6,0,4,178546,100.068,0.786,0.564,-4.549,0.153,0.205,4.28e-05,0.0888,0.651
4SE4yewyGpOYfxfx59Yjc5,8,1,4,279013,85.918,0.679,0.908,-3.411,0.202,0.234,0,0.0821,0.687
4wrH1xWnH9UnGiodScaoCo,11,0,4,170667,90.078,0.731,0.673,-7.244,0.325,0.0334,0,0.178,0.805
6HBpwBbhXKzvsSzAbwCvoj,9,1,4,223767,174.355,0.504,0.804,-6.789,0.245,0.145,0,0.504,0.625
2gZUPNdnz5Y45eiGxpHGSc,0,0,4,292093,153.993,0.542,0.914,-4.747,0.113,0.0161,0,0.744,0.576
4xkOaSrkexMciUUogZKVTS,1,1,4,297787,171.447,0.548,0.847,-3.237,0.186,0.0622,0,0.0816,0.1
5sNESr6pQfIhL3krM8CtZn,2,1,4,205733,107.045,0.687,0.793,-4.254,0.166,0.0603,0,0.582,0.751
6RUpJeXT6U4SPEafnr9Wr7,8,1,4,286267,186.151,0.537,0.948,-3.063,0.355,0.151,0,0.356,0.792
3y7SUOOniE5RfJ2lon75bu,5,0,4,125248,138.022,0.494,0.728,-9.642,0.0459,0.148,0.919,0.105,0.507
03GyVL0UtZBtN7rFn4CxYV,4,0,4,253334,138.681,0.148,0.354,-14.05,0.0672,0.33,0.943,0.177,0.0617
03eqdlquKzJQg9LYngD6HO,8,1,4,133017,77.503,0.48,0.714,-7.93,0.032,0.000169,0.985,0.0615,0.412
1v7L65Lzy0j0vdpRjJewt1,2,1,4,322227,171.355,0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596
3ZLIezMN3Uca2cVwF7S5qp,4,0,4,232120,94.737,0.507,0.961,-1.881,0.316,0.0568,0,0.842,0.586
3zmduBNsQ6BPDTZAkXzG5K,4,0,4,214400,96.986,0.642,0.777,-4.809,0.094,0.00323,0,0.227,0.413
6m2MMzrZsQAeXx60cLpejB,10,0,4,240280,89.0,0.687,0.938,-2.699,0.0532,0.0285,5.05e-06,0.319,0.743
6tRXfCfNdcAMICHdQerIuu,2,0,4,139982,110.028,0.465,0.879,-6.155,0.0534,0.00124,0.831,0.306,0.173
7lQ8MOhq6IN2w8EYcFNSUk,7,1,4,290320,112.238,0.908,0.669,-2.827,0.0738,0.00286,0,0.237,0.662
0eOyvQ2SeejSS0zJmLS4Wq,0,1,4,234386,128.206,0.395,0.769,-9.442,0.0571,0.194,0.754,0.112,0.0388
1SWVDBtw6h3tm9OehOkDhv,11,0,4,244200,91.921,0.772,0.821,-0.14,0.25,0.223,0,0.148,0.77
22L7bfCiAkJo5xGSQgmiIO,1,1,4,299613,142.113,0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,0.221
24xmMFEfEsoxotkmfB1630,8,1,4,175066,75.026,0.349,0.629,-8.829,0.0459,0.0016,0.895,0.112,0.165
3wtoQWo5ZMG1BKID0hIA6x,7,1,4,147474,95.02,0.422,0.886,-4.018,0.0899,0.00738,0.69,0.277,0.0743
4aPCWz8jyUBaL3YIo6VUkH,2,1,4,183755,120.002,0.563,0.581,-9.477,0.0297,9.64e-05,0.804,0.11,0.0609
4b8YZVxagUgUfpETkzzpiu,9,1,4,359080,89.986,0.766,0.94,-4.158,0.246,0.13,0.000174,0.123,0.457
503OTo2dSqe7qk76rgsbep,11,1,4,270587,93.431,0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527
5UsLjwBaTHBX4ektWIr4XX,5,0,5,357707,104.02,0.457,0.906,-2.278,0.342,0.249,0.0,0.182,0.54
7FWV0SaFxRg7TLjo163VgN,0,1,4,240045,90.015,0.61,0.733,-8.371,0.0413,0.00133,0.787,0.153,0.0905
